iso_week,week_ending,region_code,region,kpi_id,kpi_name,value,unit,direction,source_name,source_url,measurement,updated_at
2026-W10,2026-03-08,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",62.62,k roles,up,Layoffs.fyi,https://layoffs.fyi/,modelled,2026-06-02T00:00:00Z
2026-W11,2026-03-15,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",64.91,k roles,up,Layoffs.fyi,https://layoffs.fyi/,modelled,2026-06-02T00:00:00Z
2026-W12,2026-03-22,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",69.99,k roles,up,Layoffs.fyi,https://layoffs.fyi/,modelled,2026-06-02T00:00:00Z
2026-W13,2026-03-29,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",74.16,k roles,up,Layoffs.fyi,https://layoffs.fyi/,modelled,2026-06-02T00:00:00Z
2026-W14,2026-04-05,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",27.45,k roles,up,"Challenger, Gray & Christmas (AI-cited cuts YTD)",https://www.challengergray.com/blog/category/job-cuts-report/,measured,2026-06-10T11:28:08Z
2026-W15,2026-04-12,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",27.45,k roles,up,"Challenger, Gray & Christmas (AI-cited cuts YTD)",https://www.challengergray.com/blog/category/job-cuts-report/,measured,2026-06-10T11:28:08Z
2026-W16,2026-04-19,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",27.45,k roles,up,"Challenger, Gray & Christmas (AI-cited cuts YTD)",https://www.challengergray.com/blog/category/job-cuts-report/,measured,2026-06-10T11:28:08Z
2026-W17,2026-04-26,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",27.45,k roles,up,"Challenger, Gray & Christmas (AI-cited cuts YTD)",https://www.challengergray.com/blog/category/job-cuts-report/,measured,2026-06-10T11:28:08Z
2026-W18,2026-05-03,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",49.14,k roles,up,"Challenger, Gray & Christmas (AI-cited cuts YTD)",https://www.challengergray.com/blog/category/job-cuts-report/,measured,2026-06-10T11:28:08Z
2026-W19,2026-05-10,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",49.14,k roles,up,"Challenger, Gray & Christmas (AI-cited cuts YTD)",https://www.challengergray.com/blog/category/job-cuts-report/,measured,2026-06-10T11:28:08Z
2026-W20,2026-05-17,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",49.14,k roles,up,"Challenger, Gray & Christmas (AI-cited cuts YTD)",https://www.challengergray.com/blog/category/job-cuts-report/,measured,2026-06-10T11:28:08Z
2026-W21,2026-05-24,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",49.14,k roles,up,"Challenger, Gray & Christmas (AI-cited cuts YTD)",https://www.challengergray.com/blog/category/job-cuts-report/,measured,2026-06-10T11:28:08Z
2026-W22,2026-05-31,US,United States,ai_layoffs_ytd,"AI-attributed layoffs (YTD, thousands)",87.71,k roles,up,"Challenger, Gray & Christmas (AI-cited cuts YTD)",https://www.challengergray.com/blog/category/job-cuts-report/,measured,2026-06-10T11:28:08Z
2026-W10,2026-03-08,US,United States,topq_unemp_delta,Early-career unemployment delta (proxy),2.1,pp,up,"BLS CPS (20-24 vs 16+, SA)",https://www.bls.gov/cps/,measured,2026-06-10T11:28:08Z
2026-W11,2026-03-15,US,United States,topq_unemp_delta,Early-career unemployment delta (proxy),2.1,pp,up,"BLS CPS (20-24 vs 16+, SA)",https://www.bls.gov/cps/,measured,2026-06-10T11:28:08Z
2026-W12,2026-03-22,US,United States,topq_unemp_delta,Early-career unemployment delta (proxy),2.1,pp,up,"BLS CPS (20-24 vs 16+, SA)",https://www.bls.gov/cps/,measured,2026-06-10T11:28:08Z
2026-W13,2026-03-29,US,United States,topq_unemp_delta,Early-career unemployment delta (proxy),2.1,pp,up,"BLS CPS (20-24 vs 16+, SA)",https://www.bls.gov/cps/,measured,2026-06-10T11:28:08Z
2026-W14,2026-04-05,US,United States,topq_unemp_delta,Early-career unemployment delta (proxy),3.3,pp,up,"BLS CPS (20-24 vs 16+, SA)",https://www.bls.gov/cps/,measured,2026-06-10T11:28:08Z
2026-W15,2026-04-12,US,United States,topq_unemp_delta,Early-career unemployment delta (proxy),3.3,pp,up,"BLS CPS (20-24 vs 16+, SA)",https://www.bls.gov/cps/,measured,2026-06-10T11:28:08Z
2026-W16,2026-04-19,US,United States,topq_unemp_delta,Early-career unemployment delta (proxy),3.3,pp,up,"BLS CPS (20-24 vs 16+, SA)",https://www.bls.gov/cps/,measured,2026-06-10T11:28:08Z
2026-W17,2026-04-26,US,United States,topq_unemp_delta,Early-career unemployment delta (proxy),3.3,pp,up,"BLS CPS (20-24 vs 16+, SA)",https://www.bls.gov/cps/,measured,2026-06-10T11:28:08Z
2026-W18,2026-05-03,US,United States,topq_unemp_delta,Early-career unemployment delta (proxy),2.9,pp,up,"BLS CPS (20-24 vs 16+, SA)",https://www.bls.gov/cps/,measured,2026-06-10T11:28:08Z
2026-W19,2026-05-10,US,United States,topq_unemp_delta,Early-career unemployment delta (proxy),2.9,pp,up,"BLS CPS (20-24 vs 16+, SA)",https://www.bls.gov/cps/,measured,2026-06-10T11:28:08Z
